               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088404,            0.024575,            0.029299,              0.6785,             0.19738,             0.15954,            0.048575,            0.051453,            0.021409,            0.022128,            0.070236,           0.0033071,           0.0033071
                   1,            0.062721,             0.01598,            0.023797,             0.82192,             0.31954,             0.32794,             0.13448,            0.041163,             0.01502,            0.016599,            0.040105,           0.0065089,           0.0065089
                   2,            0.059789,            0.013176,            0.016438,             0.87315,             0.37157,             0.38972,             0.13361,            0.050172,             0.01253,            0.009142,           0.0098413,           0.0095788,           0.0095788
                   3,              0.0533,            0.011735,            0.012503,             0.80353,              0.3864,             0.37871,             0.16433,            0.039775,            0.011297,           0.0085829,            0.009406,            0.009406,            0.009406
                   4,            0.046341,            0.010559,            0.010631,             0.90182,             0.42987,             0.50555,             0.26381,            0.032658,            0.010182,           0.0072428,            0.009406,            0.009406,            0.009406
                   5,             0.04745,           0.0098324,           0.0094079,             0.94251,             0.42376,             0.53544,             0.23197,            0.035875,           0.0096721,           0.0068439,            0.009208,            0.009208,            0.009208
                   6,            0.042305,           0.0091655,            0.009235,             0.96377,             0.44985,             0.63553,             0.35356,            0.029403,           0.0093007,           0.0064268,             0.00901,             0.00901,             0.00901
                   7,            0.039023,           0.0090772,           0.0082283,             0.96671,             0.45817,             0.63868,             0.36743,            0.028261,           0.0089924,           0.0060971,            0.008812,            0.008812,            0.008812
                   8,            0.038426,           0.0088809,           0.0077467,             0.75544,             0.60482,             0.73011,             0.36923,            0.030079,           0.0087248,           0.0056611,            0.008614,            0.008614,            0.008614
                   9,            0.036887,           0.0086609,           0.0063039,             0.79504,             0.62524,              0.7893,             0.46361,            0.027569,           0.0083949,           0.0054756,            0.008416,            0.008416,            0.008416
                  10,              0.0363,           0.0086136,           0.0065068,             0.84631,             0.66065,             0.81503,             0.47954,            0.027081,           0.0084536,           0.0047762,            0.008218,            0.008218,            0.008218
                  11,            0.036271,           0.0085253,           0.0069847,              0.8901,              0.6427,             0.81336,             0.48219,            0.025357,           0.0084027,           0.0046725,             0.00802,             0.00802,             0.00802
                  12,            0.033978,           0.0083647,           0.0057693,              0.8961,             0.63802,             0.81795,             0.48466,            0.026153,           0.0083383,           0.0041221,            0.007822,            0.007822,            0.007822
                  13,            0.034061,           0.0081761,           0.0055989,             0.59958,             0.81448,              0.7873,             0.47502,            0.025528,           0.0081755,           0.0037638,            0.007624,            0.007624,            0.007624
                  14,            0.032964,            0.007985,           0.0046762,             0.64182,             0.86404,             0.78861,             0.50148,            0.023998,           0.0080586,           0.0037487,            0.007426,            0.007426,            0.007426
                  15,            0.032072,           0.0079112,            0.004963,             0.64231,             0.89586,             0.79186,             0.50343,            0.024409,           0.0079443,           0.0034838,            0.007228,            0.007228,            0.007228
                  16,            0.031086,           0.0079655,           0.0047002,             0.68761,              0.8761,             0.79001,             0.48769,            0.024546,           0.0078935,           0.0032956,             0.00703,             0.00703,             0.00703
                  17,            0.032402,           0.0078444,           0.0049757,             0.72517,             0.90233,             0.81448,             0.48514,             0.02442,           0.0078569,           0.0030278,            0.006832,            0.006832,            0.006832
                  18,             0.03055,           0.0079082,           0.0046164,             0.71044,             0.89226,             0.83594,             0.53231,            0.022776,           0.0077278,           0.0031348,            0.006634,            0.006634,            0.006634
                  19,            0.030996,            0.007814,           0.0042618,              0.7781,             0.86275,             0.88734,             0.54794,            0.022204,           0.0076265,            0.003021,            0.006436,            0.006436,            0.006436
                  20,            0.029203,           0.0075585,           0.0039544,             0.83069,             0.87874,             0.89956,             0.55328,            0.022027,           0.0076728,            0.002923,            0.006238,            0.006238,            0.006238
                  21,            0.029211,           0.0074459,           0.0041232,             0.88315,             0.89884,             0.93182,             0.60442,            0.020966,           0.0074938,           0.0027637,             0.00604,             0.00604,             0.00604
                  22,            0.029463,           0.0076457,           0.0039217,             0.87871,             0.88314,             0.93497,              0.5945,            0.021951,            0.007588,           0.0026636,            0.005842,            0.005842,            0.005842
                  23,            0.027584,           0.0072946,             0.00353,             0.91766,             0.87942,             0.94339,             0.60541,            0.021883,           0.0074816,           0.0026333,            0.005644,            0.005644,            0.005644
                  24,            0.028955,           0.0074599,           0.0044881,             0.94143,             0.90405,             0.94318,             0.61036,            0.021515,           0.0074459,           0.0025176,            0.005446,            0.005446,            0.005446
                  25,            0.027748,           0.0073464,           0.0041586,              0.9549,             0.91204,             0.95371,             0.61978,            0.021013,           0.0073653,           0.0024666,            0.005248,            0.005248,            0.005248
